first_name,last_name,email,phone,specialization,license_number,schedule_start,schedule_end,consultation_fee
Megha,Sachdeva,megha.sachdeva486@gmail.com,+91-7669885888,Neurologist,IN-214897,21:24,02:24,1440
Kritika,Ghosh,kritika.ghosh858@gmail.com,+91-9447554081,Dentist,IN-783780,21:54,03:54,786
Xavier,Ganguly,xavier.ganguly149@rediff.com,+91-8733284888,Orthopedic Surgeon,IN-998165,11:00,13:00,1307
Nicholas,Hegde,nicholas.hegde333@gmail.com,+91-9828313979,Endocrinologist,IN-847770,03:44,05:44,417
Utkarsh,Vaidya,utkarsh.vaidya90@rediff.com,+91-7335174490,Psychiatrist,IN-685801,10:29,13:29,1172
Hritik,Krishna,hritik.krishna776@gmail.com,+91-7853232182,Dermatologist,IN-732228,11:46,13:46,473
Jyoti,Lad,jyoti.lad802@gmail.com,+91-8036857548,Psychiatrist,IN-743719,09:22,12:22,794
Atharv,Thakkar,atharv.thakkar222@rediff.com,+91-8349372402,Pulmonologist,IN-615038,17:04,23:04,541
Nidra,Thakkar,nidra.thakkar821@rediff.com,+91-8181828002,Allergist,IN-593595,00:39,02:39,606
Kalpit,Som,kalpit.som184@rediff.com,+91-7522509657,Dentist,IN-723267,02:10,06:10,1196
Devansh,Chana,devansh.chana661@yahoo.com,+91-7266195424,Dermatologist,IN-103589,19:24,23:24,659
Ria,Goda,ria.goda919@rediff.com,+91-9650226169,Gastroenterologist,IN-388989,10:06,13:06,1078
Bimala,Kurian,bimala.kurian626@yahoo.com,+91-9286216562,Immunologist,IN-995153,21:05,23:05,325
Rachana,Naik,rachana.naik682@yahoo.com,+91-7951279022,General Physician,IN-995913,13:05,16:05,652
Ekanta,Tiwari,ekanta.tiwari731@yahoo.com,+91-7491933311,Immunologist,IN-335996,21:57,03:57,1317
Vansha,Trivedi,vansha.trivedi426@gmail.com,+91-8274175421,Neurologist,IN-724030,20:04,00:04,1041
Umang,Solanki,umang.solanki860@yahoo.com,+91-7629337484,Pulmonologist,IN-298258,13:09,19:09,1396
Udarsh,Bir,udarsh.bir924@gmail.com,+91-9658884852,Allergist,IN-464173,01:36,03:36,538
Onkar,Nair,onkar.nair489@yahoo.com,+91-7028398212,Endocrinologist,IN-505989,07:04,12:04,348
